"code","text"
"0",""
"001F",SODV - CONSTRUCTION
"001P",GRANTS.GOV
"001Y",Collections Postdocs
"002F",SODV - OPERATIONS & MAINTENANC
"002P",E-RULEMAKING
"003P",BUSINESS GATEWAY
"003Y",""
"004P",GEOSPATIAL LoB
"004Y",Science of Learning
"005F",ICECUBE - CONSTRUCTION
"005P",IAE NSF MOU
"005Y",STEM + Computing (STEM+C) Part
"006F",ICECUBE-OPERATIONS & MAINTENAN
"006P",Cross-Agency Priority (CAP) Go
"006Y",OE Operations Engineering
"007F",EARTHSCOPE
"007P",BFE LoB
"007y",""
"008F",EARTHSCOPE - CONSTRUCTION
"008P",FMLoB
"008y",""
"009F",LHC - ATLAS
"009Y",Political Science DDRIG
"010F",ATLAS - OPERATIONS & MAINTENAN
"010Y",""
"011F",LHC - CMS
"011p",""
"011Y",IceCube Research Support
"012F",CMS - OPERATIONS & MAINTENANCE
"012Y",PFERED - Professional Formati
"013Y",Natural Hazards Engineering Re
"014Y",Engineering for Natural Hazard
"015P",PROJECT SCIENCE
"015Y",Energy Efficient Computing: fr
"016F",EARTHSCOPE-OPERATIONS & MAINTE
"016P",CFO COUNCIL INTERAGENCY
"016Y",ADVANCE
"017F",EARTHSCOPE-SCIENCE UTILIZATION
"017P",FEDERAL AUDIT CLEARINGHOUSE
"017Y",Polar Special Initiatives
"018P",FAADS and CFFR PROGRAMS
"018Y",CM - Cybermanufacturing System
"019F",ALMA - IMPLEMENTATION
"019P",AAAS FELLOW - SCIENCE POLICY
"019Y",Cultivating Cultures of Ethica
"020F",ALMA -OPERATIONS & MAINTENANCE
"020Y",Track 1 INFEWS
"021Y",Track 2 INFEWS
"022F",EXPER FACIL CNCPT/DEV PHASE
"022Y",Track 3 INFEWS
"024F",GENI CONCEPT/DEVELOPMENT
"024Y",BD Spokes -Big Data Regional I
"025Y",SNM - Scalable NanoManufacturi
"026F",CESR -OPERATIONS & MAINTENANCE
"026Y",CRII CISE Research Initiation
"027Y",CRISP - Critical Resilient Int
"028F",NSCL -OPERATIONS & MAINTENANCE
"028Y",WIYN Telescope Operations (NOA
"029P",AAAS Workshops
"029Y",Mayall Telescope Operations (N
"030F",LIGO -OPERATIONS & MAINTENANCE
"030P",CERT & ACCRED OF IT SECURITY
"030y",""
"031Y",STCs - 2016 Class
"032Y",NSF INCLUDES
"033Y",S&CC: Smart & Connected Commun
"034Y",PREEVENTS - Prediction of and
"036F",IRIS -OPERATIONS & MAINTENANCE
"036P",Facilities Workshop
"036Y",DEL DDRIG Document Endangered
"037F",OCEAN OBSERVATORIES INITIATIVE
"037Y",UBE - Undergraduate Biology Ed
"038F",OCEAN OBSERVATORIES INIT O&M
"038Y",GBO and LBO operations and mai
"039F",OCEAN OBSERV INIT-CONSTRUCTION
"039P",AAAS FELLOW (O/D)
"040F",NEON - CONSTRUCTION
"040Y",(SPRF-FR) SBE Postdoctoral Res
"041P",WATERMAN AWARD
"042F",NAIC-OPERATIONS & MAINTENANCE
"042P",WATERMAN AWD. ADMIN.
"043F",GEMINI
"044F",GEMINI-OPERATIONS &MAINTENANCE
"045F",NRAO
"046F",NRAO-OPERATIONS & MAINTENANCE
"047F",NSO
"047P",VISUAL INFORMATION SUPPORT
"047Y",Plant-Biotic Interactions
"048F",NSO - OPERATIONS & MAINTENANCE
"049P",SPECIAL INITIATIVES/OUTREACH
"050F",ALMA-Canada Operations
"050P",SECTION 508 CONTRACTOR
"051F",ATST - CONCEPT & DEVELOPMENT
"051P",WEB CONTRACT
"052F",NOAO
"052P",WKSHP FOR BROADER IMPACTS
"053F",NOAO -OPERATIONS & MAINTENANCE
"053P",NSF KIDS
"053Y",SSIP-Summer Scholars Internshi
"054P",NSF RADIO
"054Y",GVF - Global Venture Fund
"055F",LSST - CONCEPT & DEVELOPMENT
"055P",NSF DISCUSSION SERIES
"056f",""
"056P",PROGRAM ACQUISITION CONTRACTOR
"057P",WINDOWS TO THE UNIVERSE
"058F",GSMT - CONCEPT & DEVELOPMENT
"059P",SCIENCE IN MOTION
"060P",SCIENTIST & ENGINEER PROFILES
"060Y",Workforce (MSPRF) MathSciPDFel
"061P",CONVERSATIONS WITH SCIENTISTS
"063P",U.S. NEWS & WORLD REPORT
"064P",AAAS FELLOWS (OIA)
"065P",GUIRR/FDP SUPPORT
"066P",COSEPUP CORE SUPPORT
"068P",INTERNSHIPS PROGRAM
"072F",ARRV - CONSTRUCTION
"074F",NHMFL-OPERATIONS & MAINTENANCE
"075F",CHESS
"075P",QEM WKSHP (CAREER)
"076F",CHESS-OPERATIONS & MAINTENANCE
"080F",CHRNS-OPERATIONS & MAINTENANCE
"080P",MANDATED REPORTS
"082F",DUSEL PRELIMINARY DESIGN
"083F",ADV LIGO CONSTRUCTION
"083P",NEUROSCIENCE ACTIVITIES
"084F",Partnrshp Planning Solicitatn
"086F",ALMA-J CONSTRUCTION
"088F",ALMA-B JAPAN CONSTRUCTION
"089F",TSIP
"091F",ALMA - CANADA
"091P",BUSINESS MGMT SVCS (RES.GOV)
"091T",BUSINESS MGMT SVCS (RES.GOV)
"093F",ReStar
"094F",ATST-CONSTRUCTION
"095F",NOAO-LSST
"095P",""
"096F",NOAO-GSMT
"097F",Transition Phase Funding
"097P",IN-HOUSE PRODUCTION SUPP SVCS
"098F",ATST Mitigation
"1000",DIRECTORATE'S RESERVE
"100P",IAE - LOANS AND GRANTS
"102",""
"102F",DKIST Mitigation
"103F",DKIST Construction
"1045",CAREER: FACULTY EARLY CAR DEV
"104F",LHC ATLAS Construction
"1053",GLOB LEARN & OBSER TO BEN ENVI
"105F",LHC CMS Construction
"106F",LSST Construction
"1075",LIFE IN EXTREME ENVIRONMENTS
"1077",DDOP:LIFE & EARTH'S ENVIRONMEN
"1080",EVOLUTION OF DEVELOP MECHANISM
"1081",CIRE OPPORTUNITY FUND
"1082",AWARDS FOR THE INTEG OF RSCH
"1083",DOMAIN NAME FUNDS
"1089",MICRO OBS & MICRO INTER & PRO
"108P",IN-HOUSE PROD SUPP SVCS
"1091",COLLAB RSCH AT UNDERGRAD INSTI
"1101",RESEARCH RESOURCES
"1102",BIOLOGICAL FACILITIES
"1103",TECHNIQUE DEVELOPMENT
"1104",FIELD STATIONS
"1106",LIVING STOCK COLLECTIONS
"1107",COMPUTATIONAL BIOLOGY ACTIVITI
"1108",INSTRUMENTAT & INSTRUMENT DEVP
"1109","""STUDIES IN SCIE"
"110P",AAAS FELLOWS
"1110",CELLULAR & PHYSIOLOGICAL BIOSC
"1111",DEVELOPMENTAL SYSTEMS CLUSTER
"1112",Genetic Mechanisms
"1113",PLANT SCIENCE INITIATIVE
"1114",Cellular Dynamics and Function
"1115",RESEARCH TRAINING
"1116",EUKARYOTIC GENETICS
"1117",CELLULAR PHYSIOLOGY
"1118",PLANT FUNGAL & MICROB DEV MECH
"1119",ANIMAL DEVELOPMENTAL MECHANSMS
"1120",DIVISION RESERVE - BSR
"1121",ECOLOGY
"1122",SYSTEMATIC BIOLOGY
"1123",POPULAT BIOLOGY & PHYSIOL ECOL
"1124",ECOSYSTEMS STUDIES
