"code","text"
"0",UNASSIGNED
"001B",Big Pitch
"001E",Air pollution
"001P",GRANTS.GOV
"001Z",Ebola
"002E",Bio-energy
"002F",SODV - OPERATIONS & MAINTENANC
"002Z",Intel/NSF VEC Partnership
"003E",BIOMECHANICAL ENGINEERING
"003Z",SBE-RCUK MOU
"004E",BIOMEDICAL ENG AND DIAGNOSTICS
"004Z",Innovations at the Nexus of Food-Energy-
"005E",Neuro-photonics
"005Z",Math Success in First 2 Years of College
"006E",BIOPROCESS ENGINEERING
"006Z",Multiple Environmental Stressors
"007E",Biological Separation Processes
"007F",EARTHSCOPE
"007Z",I-Corps for Learning
"008E",Gene and Drug Delivery
"008Z",Critical Resilient Interdependent Infras
"009E",Metabolic engineering
"009Z",PRIME - Promoting Research and Innovatio
"010E",DISABILITY RES & HOMECARE TECH
"010Z",BCC (Building Community and Capacity)
"011E",Nano environmental health & safety
"011Z",ADVANCE PLAN D
"012E",Industrial Ecology
"012Z",AitF FULL Projects
"013E",MULTI-SCALE MODELING
"013Z",AitF EXPL Projects
"014E",NANOBIOTECH AND NANOTOXICOLOGY
"014Z",NSF and US-Israel Binational Science Fou
"015E",Pollutant fate and transport
"015Z",US Ignite
"016E",POLLUTION AVOIDANCE
"016F",EARTHSCOPE-OPERATIONS & MAINTE
"016Z",Cybermanufacturing Systems
"017E",Cellular and Tissue Engineering
"017F",EARTHSCOPE-SCIENCE UTILIZATION
"017Z",Grad Prep APG:Summer Institutes
"018E",REMEDIATION
"018Z",Grad Prep APG:Enhan. Activities
"019E",SENSORS AND SENSING
"019P",AAAS FELLOW - SCIENCE POLICY
"019Z",Grad Prep APG:Enhan. Experience
"020E",TISSUE ENGINEERING
"020Z",ACI Integrative Activities
"021E",Water management
"021Z",Industry Partnerships
"022E",SOLID MECHANICS
"022Z",International Partnerships
"023E",STRUCTURE OF MATERIALS
"023F",GENI PROJECT
"023Z",Computer Science for All (CS for All)
"024E",MATERIALS DESIGN
"024Z",Zika Virus
"025E",INFRASTRUCTURE MATERIALS
"025Z",SaTC: Secure and Trustworthy Cyberspace
"026E",STRUCTURAL MECHANICS
"026Z",NSCI: National Strategic Computing Initi
"027E",NANOMECHANICS
"027Z",BD Spokes Planning Grants
"028E",BIOMECHANICS
"028Z",BD Spokes Full Awards
"029E",INFRASTRUCTURE SYSTEMS MGT
"029Z",Launch Pilots INCLUDES
"030E",CONTROL SYSTEMS
"030Z",Backbone Org INCLUDES
"031E",MECHATRONICS
"032E",SENSORS AND ACTUATORS
"032Z",Evaluation and Spec. Grants INCLUDES
"033E",Smart and responsive structures
"033F",NEON
"033Z",Clean E-BioE Adv/Non-Ethanol
"034E",Dynamical systems
"035E","""NOISE"
"036E",CIVIL INFRASTRUCTURE
"036F",IRIS -OPERATIONS & MAINTENANCE
"037E",GEOTECHNICAL ENGINEERING
"037F",OCEAN OBSERVATORIES INITIATIVE
"038E",FOUNDATION ENGINEERING
"039E",STRUCTURAL SYSTEMS
"039P",AAAS FELLOW (O/D)
"039Z",Cuba
"040E",Haz mitigation of structural sys
"040F",NEON - CONSTRUCTION
"040Z",Robust and Reliable Science
"041E",HAZARD AND DISASTER REDUCTION
"041F",NAIC
"041P",WATERMAN AWARD
"041Z",HBCU-Strengthening Research Capacities
"042E",HAZARD AND DISASTER RESPONSE
"042F",NAIC-OPERATIONS & MAINTENANCE
"042Z",S&CC: Smart and Connected Communities
"043E",EARTHQUAKE ENGINEERING
"043Z",PPSR- Public Participation in Scientific
"044E",CATALYSIS
"044Z",PAWR- Platforms for Advanced Wireless Re
"045E",Adv Mats for Separation Process
"046E","""Electrochem"
"047E",REACTION ENGINEERING
"048E",BIO-CATALYSIS
"049E",CHEMICAL PROCESS CONTROL
"050E",CHEMICAL PROCESS DESIGN
"050Z",EDGE Enabling Discovery through Genomic
"051E",Interfacial trans & thermodynamic
"052E",MAT & PROC FOR CHEM SEPARATION
"052F",NOAO
"052Z",ArchEng Architectural Engineering
"053E",BIOSEPARATIONS
"053Z",Quantum Leap Materials
"054E",Molecular engineering
"054F",LSST
"054Z",(MGI) Materials Genome Initiative
"055E",Particle science and technology
"056E",Multiphase flow
"057E",Thermodynamics
"057Z",(QL) Quantum Leap
"058E",Newtonian fluids
"058Z",EAGER: MAKER
"059E",Complex fluids
"059Z",Science of Learning
"060E",BIO-TRANSPORT & FLUID MECH
"061E",Fire
"061Z",Life STEM
"062E",Plasma-assisted combustion
"062F",NEES RESEARCH
"063E",POLLUTANT FORMATION & MITIGATN
"064E",Convection heat and mass transfer
"064P",AAAS FELLOWS (OIA)
"065E",Radiation heat transfer
"066E",INSTRUMENTATION & DIAGNOSTICS
"067E",DESIGN TOOLS
"068E",DESIGN THEORY
"068P",INTERNSHIPS PROGRAM
"069E",ENVIRON BENIGN DESIGN & MFG
